Schokolade;Penny;1.07512103581;1.24556833059
Wurst;Spar;1.15531243811;7.22811804639
Eier;Penny;1.65297667864;3.98925066843
Brot;M-Preis;2.29940139981;5.1156241969
Wurst;Merkur;3.23608232318;4.9330078785
Schokolade;Merkur;4.38025384691;2.41300206457
Milch;M-Preis;3.81044737266;1.64535740439
Brot;Billa;3.42083604107;3.88610656935
Wurst;Hofer;4.4784853603;5.45928131531
Milch;Penny;2.76985205656;4.20285361465
Eier;Hofer;1.11968150582;9.42682642598
Marmelade;M-Preis;2.18719490777;3.70409070689
Marmelade;Billa;4.62097688609;6.6828655337
Wurst;Penny;1.13840249331;8.02112765465
Milch;Billa;4.08094173353;3.38489660165
Milch;Merkur;2.0596536806;0.625829081635
Schokolade;M-Preis;4.29850895081;6.53566490855
Wurst;M-Preis;1.62736941588;2.91877839881
Wurst;Billa;2.75668608013;4.58158364824
Marmelade;Hofer;4.20312921936;3.22395575802
Schokolade;Billa;2.51851873811;8.38693828953
Marmelade;Spar;4.1603823189;6.67063588832
Brot;Spar;2.89188515784;1.1144037949
Milch;Hofer;4.67459273974;1.46204307602
Brot;Penny;3.81252548989;0.524998089019
Brot;Merkur;2.25461839948;8.34840084468
Brot;Hofer;2.44101556999;5.9921170601
Milch;Spar;0.924817108809;3.672002544
Schokolade;Hofer;2.11890247936;2.15080155099
Eier;M-Preis;2.46730831249;0.865340751475
Eier;Billa;2.08629317446;2.56983560303
Schokolade;Spar;2.19024406338;9.85871434733
Marmelade;Penny;1.55134755058;7.31285058923
Eier;Merkur;4.37037919313;10.5370609405
Marmelade;Merkur;4.3091292535;1.15870368721
Eier;Spar;0.952081649035;9.53945343301
